1 4083		 0 0 0 0 0 0 0 0 1 0 
1 8512		 0 0 0 0 0 0 0 0 0 1 
1 -9999		 
1 4746		 0 1 0 0 0 0 0 0 0 0 
1 -9999		 
2 2141		 0 0 0 0 0 1 0 0 0 0 
2 6750		 0 0 1 0 0 0 0 0 0 0 
2 8546		 1 0 0 0 0 0 0 0 0 0 
2 2430		 0 0 1 0 0 0 0 0 0 0 
2 553		 0 0 1 1 1 0 0 0 0 0 
2 9750		0 0 0 0 0 0 1 0 0 0 
3 3554		 0 0 0 1 0 0 0 0 0 0 
3 7148		 0 0 0 1 0 0 0 0 0 0 
3 6946		 1 0 0 0 0 0 0 0 0 0 
3 7279		 0 0 0 0 0 1 0 0 0 0 
3 -9999		 
4 -9999		 
4 1287		 0 0 0 0 1 0 0 0 0 0 
4 3980		 1 0 0 0 0 0 0 0 0 0 
4 1910		 0 0 1 0 0 0 0 0 0 0 
4 3845		 0 0 0 0 0 0 0 1 0 0 
5 7445		 1 1 0 0 0 0 0 0 0 0 
5 6022		 0 0 0 0 0 0 1 1 0 0 
5 4747		 0 0 0 0 0 0 1 0 0 0 
5 3896		 0 0 0 0 0 0 0 1 0 0 
5 -9999		 
6 2380		 0 0 0 1 0 0 0 0 0 0 
6 -9999		 
6 -9999		 
6 -9999		 
6 -9999		 
7 8957		 1 0 0 0 0 0 0 0 0 0 
7 8300		 0 0 0 0 1 0 0 0 0 0 
7 657		 0 0 0 0 0 1 0 0 0 0 
7 3500		 0 0 0 0 0 1 1 0 0 0 
7 4709		 0 0 0 0 0 0 0 1 0 0 
8 4312		 0 0 0 0 1 0 0 0 0 0 
8 2830		 0 0 0 0 0 0 1 1 0 0 
8 2314		 0 0 0 0 0 0 0 0 1 0 
8 5818		 0 0 0 0 1 0 0 0 0 0 
8 7320		 0 0 0 0 0 0 1 0 0 0 
8 7638		0 0 0 0 0 0 0 0 0 1 
8 6349		0 0 0 0 0 0 0 0 0 1 
8 5945		0 0 0 0 0 0 0 1 1 1 
9 -9999		 
9 6771		 0 0 0 0 0 0 0 0 0 1 
9 -9999		 
9 -9999		 
9 -9999		 
10 8298		 0 0 0 0 0 1 0 0 0 0 
10 9124		 0 1 0 0 0 0 0 0 0 0 
10 3697		 0 0 0 0 0 0 0 1 1 0 
10 321		 0 1 0 0 0 0 0 0 0 0 
10 160		 0 0 0 1 0 0 0 0 0 0 
10 240		0 0 0 0 0 0 1 0 0 0 
11 8181		 0 0 1 0 0 0 0 0 0 0 
11 2758		 0 0 1 0 0 0 0 0 0 0 
11 5943		 0 0 0 1 0 0 0 0 0 0 
11 5671		 0 0 0 0 0 0 0 1 0 0 
11 5282		 0 0 0 0 0 0 0 0 1 0 
12 6311		 1 0 0 0 0 0 0 0 0 0 
12 3871		 0 0 0 0 0 1 0 0 0 0 
12 6590		 0 0 0 1 1 0 0 0 0 0 
12 1875		 0 0 0 0 0 0 0 1 1 0 
12 6430		 0 0 0 0 0 0 0 1 0 0 
12 4780		0 0 0 1 0 0 0 0 0 0 
12 7248		0 0 1 0 0 0 0 0 0 0 
13 85		 0 0 0 0 0 0 0 0 0 1 
13 -9999		 
13 6703		 0 0 1 0 0 0 0 0 0 0 
13 5680		 0 0 0 0 0 1 1 0 0 0 
13 -9999		 
14 6355		 0 0 0 0 0 0 1 1 0 0 
14 107		 0 0 0 0 0 0 0 0 1 0 
14 4384		 0 0 0 1 1 0 0 0 0 0 
14 5136		 0 0 0 0 0 0 0 1 0 0 
14 5750		 0 0 0 0 0 0 1 1 0 0 
15 5469		 0 0 0 0 0 0 1 0 0 0 
15 2648		 0 1 0 0 0 0 0 0 0 0 
15 7606		 0 0 0 0 0 0 0 0 0 1 
15 -9999		 
15 3495		 0 0 1 0 0 0 0 0 0 0 
16 1043		 0 0 0 0 0 0 0 0 1 0 
16 869		 0 0 1 0 0 0 0 0 0 0 
16 -9999		 
16 -9999		 
16 -9999		 
17 -9999		 
17 4523		 0 0 0 1 0 0 0 0 0 0 
17 2772		 0 0 0 1 0 0 0 0 0 0 
17 9458		 0 0 0 0 0 1 0 0 0 0 
17 7475		 0 0 0 0 0 0 0 1 0 0 
18 5467		 0 0 0 0 0 0 1 0 0 0 
18 5820		 0 0 0 0 0 0 0 1 0 0 
18 8073		 0 0 0 0 0 0 0 0 1 1 
18 -9999		 
18 4910		 1 0 0 0 0 0 0 0 0 0 
19 4146		 0 0 0 0 0 0 1 0 0 0 
19 -9999		 
19 -9999		 
19 -9999		 
19 -9999		 
20 8349		 0 0 0 0 0 0 0 1 0 0 
20 6813		 0 0 0 0 0 1 1 0 0 0 
20 7387		 0 0 0 0 1 0 0 0 0 0 
20 3312		 0 0 0 0 0 0 0 1 0 0 
20 2814		 0 0 0 1 0 0 0 0 0 0 
20 1528		0 0 0 0 0 0 1 1 0 0 
21 -9999		 
21 2023		 0 0 1 0 0 0 0 0 0 0 
21 1659		 0 0 0 0 0 1 1 0 0 0 
21 3620		 0 0 0 0 0 1 0 0 0 0 
21 -9999		 
22 85		 0 0 0 0 0 1 0 0 0 0 
22 598		 0 0 0 0 0 0 1 0 0 0 
22 102		 0 1 0 0 0 0 0 0 0 0 
22 396		 0 0 0 0 0 0 0 0 1 0 
22 2901		 0 0 0 0 1 0 0 0 0 0 
22 1603		0 0 0 0 0 0 1 0 0 0 
22 1442		0 0 0 0 0 0 1 0 0 0 
22 4809		0 0 0 0 1 0 0 0 0 0 
22 8398		0 0 0 1 0 0 0 0 0 0 
22 3715		0 0 0 1 0 0 0 0 0 0 
22 7246		0 0 1 0 0 0 0 0 0 0 
23 2740		 0 0 0 0 1 0 0 0 0 0 
23 2470		 0 0 0 0 0 0 0 0 1 0 
23 34		 0 0 0 0 1 1 0 0 0 0 
23 1960		 0 1 0 0 0 0 0 0 0 0 
23 5441		 0 0 0 0 0 0 0 0 0 1 
24 -9999		 
24 1311		 1 0 0 0 0 0 0 0 0 0 
24 -9999		 
24 -9999		 
24 -9999		 
25 4615		 0 1 0 0 0 0 0 0 0 0 
25 7300		 0 0 0 1 0 0 0 0 0 0 
25 7123		 0 0 0 0 0 1 1 0 0 0 
25 5310		 0 0 1 0 0 0 0 0 0 0 
25 5969		 0 1 0 0 0 0 0 0 0 0 
26 5941		 0 0 0 0 0 0 0 1 0 0 
26 9670		 0 0 0 0 0 0 0 0 1 0 
26 -9999		 
26 -9999		 
26 -9999		 
27 136		 1 0 0 0 0 0 0 0 0 0 
27 5265		 0 0 0 0 0 1 0 0 0 0 
27 9399		 0 1 0 0 0 0 0 0 0 0 
